Note,First Peak,MCD,Bayesian MAP
151,350.81159173961083,700.7231834792215,350.339248698633
152,66.55574043261232,122.11148086522527,66.00000000430283
153,98.70542599429827,178.7108519885976,98.20432408370144
154,196.75491033304866,374.2098206660929,196.49114173564763
155,1313.882654697018,2157.165309394464,1314.5971931999904
156,657.5342465753425,1280.3684931507166,657.9406121945357
157,78.27082538250703,156.44165076501406,77.65218996763963
158,131.1894366947077,249.77887338941252,131.08325735348012
159,87.2954014029618,172.7908028059237,139.93118927665034
160,1049.5252969462827,2098.8505938925655,1049.3848960266648
161,157.3301549463647,314.5603098927294,156.54960982481148
162,624.2993008754802,1193.99860175101,624.0757529774723
163,880.8545603944125,1528.0091207890375,881.5816952287042
164,1114.298601714028,2227.797203428057,1114.028172360348
165,834.20118735697,1484.5023747141072,833.8939817846542
166,232.3432343234323,444.58646864686006,233.35416533974086
167,208.13111623836423,357.36223247671506,208.1311301005479
168,983.5352844088402,1887.0705688177532,982.6771568433132
169,166.3448685578494,294.18973711569004,165.3394171605499
170,466.7312946153168,881.3625892306218,467.2272364030865
171,623.2980332829046,1134.0960665659115,623.8041158027048
172,990.0697951540601,1716.1395903083603,990.1582187832432
173,70.72135785007072,141.34271570014144,69.55658700888148
174,262.1172748841939,482.53454976837827,262.1172749336764
175,262.8507474618275,480.5014949236447,252.00182128651687
176,64.39946333780551,128.69892667561103,67.36500118211015
177,263.13658308674667,466.47316617347974,262.41369958653416
178,701.1371489602312,1307.8742979205483,700.5919048110204
179,1171.3550448132044,2230.9100896265104,1171.2422503870089
180,700.2673532032874,1214.434706406744,700.5846030426688
181,698.7879394971452,1318.1758789943626,699.0376495614483
182,370.6836318170117,670.9672636340074,370.68363567365685
183,294.15796476232714,588.2159295246543,294.15796470238587
184,92.22075720474666,184.34151440949333,92.57698396155313
185,785.4063018242123,1503.8126036484855,786.0667967566491
186,104.7138335186928,209.3276670373856,104.71383341255729
187,330.8073274061698,661.3146548123395,330.61774472212807
188,78.78618039152889,157.47236078305778,73.18353003828447
189,700.2415907823824,1267.6831815648857,700.5955208914769
190,155.20654612643528,284.7130922528647,155.83776791406822
191,82.2212484563598,164.3424969127196,82.36407460977156
192,1111.0528484212891,2015.8056968427659,1110.2273145848778
193,391.9198345792906,734.0396691585698,393.1218409149109
194,72.79077248288222,145.48154496576444,73.61085082699438
